year,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,location
1990,65323,,64749,38914,13856,11979,17041,47708,0,0,0,0,671,57,614,100000
1991,66091,2,65491,39098,14015,12378,17465,48026,0,0,0,0,760,68,692,100000
1992,66782,2,66152,38699,14355,13098,17861,48291,0,0,0,0,838,98,740,100000
1993,67468,3,66808,37680,14965,14163,18262,48546,0,0,0,0,1116,186,930,100000
1994,68135,3,67455,36628,15312,15515,18653,48802,0,0,0,0,1557,332,1225,100000
1995,68855,3,68065,35530,15655,16880,19040,49025,14908,11365,2535,1008,2045,485,1560,100000
1996,69765,3,68950,34820,16203,17927,19922,49028,14845,11172,2635,1038,2329,620,1709,100000
1997,70800,3,69820,34840,16547,18432,20781,49039,14668,10887,2732,1049,2669,750,1919,100000
1998,72087,3,70637,35177,16600,18860,21616,49021,12337,8612,2676,1048,3232,973,2259,100000
1999,72791,3,71394,35768,16421,19205,22412,48982,11773,8036,2683,1055,3467,1053,2414,100000
2000,73992,3,72085,36043,16219,19823,23151,48934,11259,7508,2689,1062,3404,1268,2136,100000
2001,74432,4,73025,36513,16284,20228,23940,49085,10792,7052,2682,1058,3658,1527,2131,100000
2002,75360,4,73740,36870,15780,21090,24780,48960,10558,6876,2645,1037,4267,1999,2269,100000
2003,76075,4,74432,36546,16077,21809,25639,48793,10492,6797,2644,1050,4922,2545,2377,100000
2004,76823,4,75200,35269,16920,23011,26476,48724,10576,6850,2659,1067,5515,2994,2521,100000
2005,77877,4,75825,33970,18084,23771,27331,48494,10850,7064,2713,1073,6236,3458,2778,100000
2006,78244,4,76400,32561,19225,24614,28310,48090,11713,7768,2833,1112,6967,3954,3012,100000
2007,78645,4,76990,31444,20629,24917,29350,47640,12024,8020,2874,1130,7891,4581,3310,100000
2008,79243,4,77480,30654,21109,25717,30210,47270,12193,8121,2915,1157,8733,5124,3609,100000
2009,79812,4,77995,29708,21684,26603,31120,46875,12573,8413,2930,1183,9789,5544,4245,100000
