year,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,location
1977,,,,,,,,,,,576,,,,,,100000
1978,,,,,,,,,,,615,,,,,,100000
1979,,,,,,,,,,,668,,,,,,100000
1980,,,,,,,,,,,762,,,,,,100000
1981,,,,,,,,,,,772,,,,,,100000
1982,,,,,,,,,,,798,,,,,,100000
1983,,,,,,,,,,,826,,,,,,100000
1984,,,,,,,,,,,974,,,,,,100000
1985,,,,,,,,,,,1148,,,,,,100000
1986,,,,,,,,,,,1329,,,,,,100000
1987,,,,,,,,,,,1459,,,,,,100000
1988,,,,,,,,,,,1747,,,,,,100000
1989,,,,,,,,,,,1935,,,,,,100000
1990,1510.2,1278.89,54.24,686.3,584.63,58.8,,2951.1,,,2140,,2140,,,,100000
1991,1700.6,,53.8,708.6,,57.6,,3323.9,,,2340,,2340,,,,100000
1992,2026.6,,53.04445096,784,,57.6,,3939.2,,,2711,,2711,,,,100000
1993,2577.4,,50.31670307,921.6,,58.1,,4916.2,,,3371,,3371,,,,100000
1994,3496.2,,50.03927978,1221,1016.81,58.9,,6656.4,,,4538,,4538,,,,100000
1995,4283,3537.57,50.09059891,1577.7,1310.36,58.6,8255.8,8100,8255.8,5348,5500,5348,5500,5345,5499,5542,100000
1996,4838.9,3919.47,48.76092941,1926.1,1572.08,56.3,9249.4,9080,9249.4,5980,6210,5980,6210,5930,6241,6352,100000
1997,5160.3,4186,46.59502489,2090.1,1617,55.1,9602.4,9405.3,9602.4,6444,6470,6444,6470,6322,6867,6990,100000
1998,5425.1,4331.61,44.6609921,2162,1590.33,53.4,9540.2,9296.5,9540.2,7446,7479,7446,7479,7405,7620,7740,100000
1999,5854.02,4615.91,42.06797793,2210.3,1577.42,52.6,10155.9,9875.45164,10155.9,8319,8346,8319,8346,8168,8665,8925,100000
2000,6280,4998,39.44217687,2253.4,1670.13,49.1,10954.7,10656.18845,10954.7,9333,9371,9333,9371,9189,9634,10020,100000
2001,6859.6,5309,38.19902392,2366.4,1741,47.7,12205.4,11830.85273,12205.4,10834,10870,10834,10870,10453,11491,12125,100000
2002,7702.8,6029.88,37.67637167,2475.6,1834.31,46.2,13638.1,13161.06683,13638.1,12373,12422,12373,12422,11873,13246,14005,100000
2003,8472.2,6510.94,37.1,2622.2,1943.3,45.6,15329.6,14743.51054,15329.6,13969,14040,13969,14040,13578,14564,15736,100000
2004,9421.6,7182,37.7,2936.4,2185,47.2,17615,16900.17403,17615,15920,16024,15920,16024,15559,16489,17869,100000
2005,10493,7943,36.7,3254.9,2555,45.5,20627.1,19789.85501,20627.1,18200,18364,18200,18364,17853,18720,20828,100000
2006,11759.5,8696.55,35.8,3587,2829.02,43,24262.32307,23265.91849,24262.32307,20856,21001,20856,21001,20495,20988,23039,100000
2007,13785.8,9997.47,36.28948124,4140.4,3223.851103,43.1,29471.51498,28243.99461,29471.51498,24721,24932,24721,24932,23943,25461,28340,100000
2008,15780.76,11242.85,37.88905838,4760.62,3660.6847,43.67,35289.49727,33713.83223,35289.49727,28898,29229,28898,29229,28359,29758,33869,100000
2009,17174.65,12264.55,36.51613797,5153.17,3993.45,40.9679,,,40288.16311,,,32244,32736,31302,33352,36468,100000
2010,19109,,,5919,,,,,,,,,37147,,,,100000
