code_name,code_type,code_value,code_order
location,100000,全国,1
location,110000,北京市,2
location,120000,天津市,3
location,130000,河北省,4
location,140000,山西省,5
location,150000,内蒙古自治区,6
location,210000,辽宁省,7
location,220000,吉林省,8
location,230000,黑龙江省,9
location,310000,上海市,10
location,320000,江苏省,11
location,330000,浙江省,12
location,340000,安徽省,13
location,350000,福建省,14
location,360000,江西省,15
location,370000,山东省,16
location,410000,河南省,17
location,420000,湖北省,18
location,430000,湖南省,19
location,440000,广东省,20
location,450000,广西壮族自治区,21
location,460000,海南省,22
location,500000,重庆市,23
location,510000,四川省,24
location,520000,贵州省,25
location,530000,云南省,26
location,540000,西藏自治区,27
location,610000,陕西省,28
location,620000,甘肃省,29
location,630000,青海省,30
location,640000,宁夏回族自治区,31
location,650000,新疆维吾尔自治区,32
location,710000,台湾省,33
location,810000,香港特别行政区,34
location,910000,澳门特别行政区,35
